category,word,happiness_average,count,genre_group,interpretation_note
frequent_positive,like,7.22,2227,children,Fill in manually after close reading the word in context.
frequent_positive,good,7.2,1644,children,Fill in manually after close reading the word in context.
frequent_positive,mother,7.68,865,children,Fill in manually after close reading the word in context.
frequent_positive,home,7.14,809,children,Fill in manually after close reading the word in context.
frequent_positive,great,7.88,741,children,Fill in manually after close reading the word in context.
frequent_positive,like,7.22,824,gothic_horror,Fill in manually after close reading the word in context.
frequent_positive,good,7.2,679,gothic_horror,Fill in manually after close reading the word in context.
frequent_positive,great,7.88,678,gothic_horror,Fill in manually after close reading the word in context.
frequent_positive,life,7.32,570,gothic_horror,Fill in manually after close reading the word in context.
frequent_positive,heart,7.22,501,gothic_horror,Fill in manually after close reading the word in context.
frequent_negative,no,3.48,2216,children,Fill in manually after close reading the word in context.
frequent_negative,never,3.34,1562,children,Fill in manually after close reading the word in context.
frequent_negative,cried,2.2,564,children,Fill in manually after close reading the word in context.
frequent_negative,poor,2.32,382,children,Fill in manually after close reading the word in context.
frequent_negative,gone,3.42,345,children,Fill in manually after close reading the word in context.
frequent_negative,no,3.48,1586,gothic_horror,Fill in manually after close reading the word in context.
frequent_negative,never,3.34,646,gothic_horror,Fill in manually after close reading the word in context.
frequent_negative,poor,2.32,426,gothic_horror,Fill in manually after close reading the word in context.
frequent_negative,death,1.54,316,gothic_horror,Fill in manually after close reading the word in context.
frequent_negative,cried,2.2,292,gothic_horror,Fill in manually after close reading the word in context.
frequent_mid_score_or_ambiguous,the,4.98,36596,children,Fill in manually after close reading the word in context.
frequent_mid_score_or_ambiguous,and,5.22,29999,children,Fill in manually after close reading the word in context.
frequent_mid_score_or_ambiguous,to,4.98,21549,children,Fill in manually after close reading the word in context.
frequent_mid_score_or_ambiguous,a,5.24,17208,children,Fill in manually after close reading the word in context.
frequent_mid_score_or_ambiguous,of,4.94,16092,children,Fill in manually after close reading the word in context.
frequent_mid_score_or_ambiguous,the,4.98,30633,gothic_horror,Fill in manually after close reading the word in context.
frequent_mid_score_or_ambiguous,and,5.22,19067,gothic_horror,Fill in manually after close reading the word in context.
frequent_mid_score_or_ambiguous,of,4.94,15755,gothic_horror,Fill in manually after close reading the word in context.
frequent_mid_score_or_ambiguous,to,4.98,14992,gothic_horror,Fill in manually after close reading the word in context.
frequent_mid_score_or_ambiguous,i,5.92,13363,gothic_horror,Fill in manually after close reading the word in context.
